"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"14-May-2024","EQ","1,240.00","1,355.00","1,240.00","1,195.20","1,335.00","1,343.20","1,305.94","1,408.85","468.95","1,22,26,747","15,96,73,72,050.30","2,97,592"
"13-May-2024","EQ","1,230.00","1,237.80","1,168.00","1,229.75","1,196.85","1,195.20","1,193.44","1,408.85","468.95","30,79,650","3,67,53,68,808.05","1,01,410"
"10-May-2024","EQ","1,244.00","1,257.30","1,201.55","1,234.70","1,236.80","1,229.75","1,234.84","1,408.85","468.95","27,36,031","3,37,85,65,412.10","98,604"
"09-May-2024","EQ","1,299.60","1,304.75","1,220.00","1,294.80","1,243.90","1,234.70","1,269.09","1,408.85","468.95","20,73,901","2,63,19,70,871.20","77,227"
"08-May-2024","EQ","1,248.00","1,298.00","1,225.00","1,247.25","1,292.00","1,294.80","1,270.80","1,408.85","468.95","26,64,196","3,38,56,52,555.65","86,664"
"07-May-2024","EQ","1,293.85","1,336.00","1,226.85","1,287.60","1,248.70","1,247.25","1,279.32","1,408.85","468.95","43,90,065","5,61,62,98,273.90","1,40,277"
"06-May-2024","EQ","1,332.00","1,335.35","1,261.05","1,321.90","1,291.80","1,287.60","1,290.32","1,408.85","468.95","22,82,092","2,94,46,27,441.85","86,134"
"03-May-2024","EQ","1,331.65","1,361.75","1,303.30","1,325.65","1,325.00","1,321.90","1,330.21","1,408.85","468.95","23,14,662","3,07,89,84,602.25","79,783"
"02-May-2024","EQ","1,312.80","1,334.75","1,274.00","1,303.90","1,324.00","1,325.65","1,313.43","1,408.85","468.95","30,08,078","3,95,08,88,124.55","1,08,886"
"30-Apr-2024","EQ","1,338.00","1,378.00","1,298.00","1,337.95","1,308.00","1,303.90","1,329.39","1,408.85","468.95","33,69,452","4,47,93,13,151.50","1,11,793"
"29-Apr-2024","EQ","1,364.25","1,365.55","1,327.00","1,352.05","1,337.50","1,337.95","1,341.34","1,408.85","468.95","19,74,201","2,64,80,69,636.55","69,778"
"26-Apr-2024","EQ","1,330.10","1,364.70","1,327.20","1,326.25","1,355.00","1,352.05","1,344.66","1,408.85","468.95","47,72,122","6,41,68,67,707.55","1,31,759"
"25-Apr-2024","EQ","1,276.90","1,377.00","1,251.75","1,274.65","1,322.70","1,326.25","1,335.14","1,408.85","468.95","1,39,92,038","18,68,13,85,137.05","3,50,542"
"24-Apr-2024","EQ","1,270.00","1,323.00","1,257.90","1,251.95","1,272.00","1,274.65","1,287.45","1,408.85","468.95","91,71,525","11,80,79,05,150.20","2,24,406"
"23-Apr-2024","EQ","1,109.90","1,280.00","1,093.05","1,105.10","1,261.00","1,251.95","1,203.90","1,408.85","468.95","1,70,53,747","20,53,10,69,332.45","4,00,439"
"22-Apr-2024","EQ","1,113.05","1,124.45","1,095.10","1,099.00","1,105.45","1,105.10","1,105.17","1,408.85","468.95","15,97,916","1,76,59,75,541.90","51,883"
"19-Apr-2024","EQ","1,077.45","1,126.60","1,061.00","1,077.85","1,100.25","1,099.00","1,100.46","1,408.85","468.95","49,30,560","5,42,59,01,407.80","1,45,450"
"18-Apr-2024","EQ","1,120.00","1,137.00","1,067.35","1,103.35","1,082.75","1,077.85","1,103.76","1,408.85","468.95","25,52,265","2,81,70,88,093.20","75,548"
"16-Apr-2024","EQ","1,056.15","1,115.00","1,043.75","1,056.95","1,101.00","1,103.35","1,092.28","1,408.85","468.95","45,25,204","4,94,27,79,240.80","1,14,846"
"15-Apr-2024","EQ","1,055.00","1,085.00","1,024.20","1,096.55","1,059.00","1,056.95","1,056.45","1,408.85","468.95","36,44,581","3,85,03,26,412.90","1,13,948"
"12-Apr-2024","EQ","1,094.85","1,119.80","1,081.40","1,092.10","1,094.30","1,096.55","1,099.40","1,408.85","468.95","19,88,002","2,18,56,17,709.50","63,447"
"10-Apr-2024","EQ","1,132.80","1,142.70","1,084.10","1,130.25","1,094.55","1,092.10","1,107.07","1,408.85","468.95","28,56,936","3,16,28,25,480.40","86,618"
"09-Apr-2024","EQ","1,147.60","1,153.10","1,113.35","1,141.20","1,132.00","1,130.25","1,129.52","1,408.85","468.95","32,23,337","3,64,08,10,370.20","92,623"
"08-Apr-2024","EQ","1,105.05","1,170.90","1,105.05","1,081.20","1,142.00","1,141.20","1,140.35","1,408.85","468.95","94,08,821","10,72,93,59,810.30","2,20,432"
"05-Apr-2024","EQ","1,067.95","1,117.50","1,055.00","1,069.30","1,078.95","1,081.20","1,085.89","1,408.85","466.65","55,66,690","6,04,48,17,914.25","1,28,633"
"04-Apr-2024","EQ","1,076.00","1,081.00","1,034.15","1,074.65","1,068.10","1,069.30","1,056.28","1,408.85","466.65","50,50,996","5,33,52,53,025.10","1,29,433"
"03-Apr-2024","EQ","986.00","1,085.00","977.70","985.05","1,067.50","1,074.65","1,047.84","1,408.85","466.65","1,58,34,277","16,59,17,70,935.50","3,22,410"
"02-Apr-2024","EQ","969.20","997.00","954.35","968.30","985.40","985.05","978.32","1,408.85","466.65","62,07,391","6,07,27,93,298.35","1,43,845"
"01-Apr-2024","EQ","887.00","976.70","885.35","871.80","967.85","968.30","947.81","1,408.85","466.65","1,10,08,662","10,43,41,68,091.80","2,39,838"
"28-Mar-2024","EQ","883.40","891.10","866.25","872.45","871.50","871.80","877.64","1,408.85","410.40","9,05,880","79,50,38,885.25","30,186"
